t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz
0.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,88.03
1.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,88.03
2.049,1e-05,-4e-05,0.003,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,88.03
2.298,-4e-05,-2e-05,0.001,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,88.03
2.548,-0.0001,7e-05,-0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,88.03
2.798,5e-05,0.00018,-0.005,0.00018,0.0,20.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,201.62
3.048,0.0001,0.00049,-0.022,0.0005,0.0,20.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,201.62
3.299,6e-05,0.00068,-0.029,0.00068,0.0,20.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,201.62
3.549,0.00017,0.00051,-0.028,0.00053,0.0,20.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,201.62
3.799,0.00019,0.00071,-0.039,0.00074,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.97
4.049,0.0003,0.00071,-0.04,0.00077,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.97
4.3,0.00014,0.00075,-0.04,0.00076,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.97
4.549,0.00018,0.00092,-0.05,0.00094,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.97
4.798,0.00036,0.00091,-0.049,0.00098,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.97
5.049,0.00037,0.00064,-0.034,0.00074,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.001,0.0,0.0,200.0
5.299,0.00041,0.00067,-0.038,0.00078,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.012,0.0,0.0,200.0
5.548,0.00053,0.00059,-0.036,0.00079,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.008,0.0,0.0,200.0
5.799,0.00059,0.00061,-0.037,0.00085,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.016,0.0,0.0,200.0
6.048,0.00069,0.00048,-0.034,0.00084,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.025,0.0,0.0,200.0
6.299,0.00068,0.00073,-0.046,0.001,0.0,29.59,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.036,0.0,0.0,199.92
6.549,0.0007,0.00117,-0.072,0.00136,0.0,29.59,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.023,0.0,0.0,199.92
6.798,0.00061,0.00156,-0.091,0.00167,0.0,29.59,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.015,0.0,0.0,199.92
7.049,0.00058,0.00148,-0.09,0.00159,0.0,29.59,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.027,0.0,0.0,199.92
7.298,0.0005,0.00163,-0.097,0.00171,0.0,29.59,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.043,0.0,0.0,199.92
7.548,0.00051,0.00151,-0.092,0.00159,0.0,29.62,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.032,0.0,0.0,199.32
7.798,0.00049,0.00162,-0.1,0.00169,0.0,29.62,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.043,0.0,0.0,199.32
8.048,0.00045,0.00164,-0.101,0.0017,0.0,29.62,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.057,0.0,0.0,199.32
8.299,0.00044,0.00164,-0.102,0.00169,0.0,29.62,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,-0.049,0.0,0.0,199.32
8.549,0.00049,0.00186,-0.119,0.00193,0.0,26.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.042,0.0,0.0,199.95
8.798,0.00062,0.00221,-0.139,0.00229,0.0,26.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.054,0.0,0.0,199.95
9.049,0.00058,0.00229,-0.148,0.00236,0.0,26.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.048,0.0,0.0,199.95
9.298,0.00062,0.00234,-0.149,0.00242,0.0,26.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.048,0.0,0.0,199.95
9.549,0.0007,0.0023,-0.148,0.0024,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.055,0.0,0.0,199.97
9.798,0.00078,0.00251,-0.161,0.00262,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.037,0.0,0.0,199.97
10.048,0.0008,0.00265,-0.171,0.00277,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.037,0.0,0.0,199.97
10.298,0.001,0.00248,-0.166,0.00268,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.053,0.0,0.0,199.97
10.548,0.00102,0.00252,-0.169,0.00272,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.057,0.0,0.0,199.97
10.798,0.00098,0.00286,-0.188,0.00303,0.0,30.41,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,-0.055,0.0,0.0,200.85
11.048,0.00097,0.003,-0.196,0.00316,0.0,30.41,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,-0.078,0.0,0.0,200.85
