t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz
0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0,74.42,0.0,0.0,0.0,0.0,0.0,0.0
2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0,74.42,0.0,0.0,0.0,0.0,0.0,0.0
3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0,74.42,0.0,0.0,0.0,0.0,0.0,0.0
3.281,-0.00018,-8e-05,0.001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0,74.42,0.0,0.0,0.0,0.0,0.0,0.0
3.53,-0.00025,-0.00018,0.003,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0,74.42,0.0,0.0,0.0,0.0,0.0,0.0
3.78,-0.00025,-0.00018,0.003,0.00031,0.0,16.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,201.62,0.0,0.0,0.0,0.0,0.0,0.0
4.03,-0.00025,-0.00018,0.003,0.00031,0.0,16.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,201.62,0.0,0.0,0.0,0.0,0.0,0.0
4.28,-0.00026,-0.00018,0.003,0.00031,0.0,16.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,201.62,0.0,0.0,0.0,0.0,0.0,0.0
4.53,-0.00017,-0.00019,0.003,0.00025,0.0,16.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,201.62,0.0,0.0,0.0,0.0,0.0,0.0
4.78,-0.00045,-0.00039,0.007,0.00059,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,199.98,0.0,0.0,0.0,0.0,0.0,0.0
5.032,-0.0006,-0.00055,0.009,0.00081,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.002,0.0,0.0,199.98,-5e-05,-4e-05,0.001,7e-05,0.0,0.0
5.281,-0.00057,-0.00056,0.005,0.0008,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.008,0.0,0.0,199.98,-2e-05,-5e-05,0.008,5e-05,0.0,0.0
5.53,-0.00052,-0.00054,0.005,0.00075,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.011,0.0,0.0,199.98,3e-05,-3e-05,-0.011,4e-05,0.0,0.0
5.78,-0.00052,-0.00054,0.005,0.00075,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.016,0.0,0.0,201.0,3e-05,-3e-05,-0.013,4e-05,0.0,23.0
6.03,-0.00052,-0.00054,0.005,0.00075,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.014,0.0,0.0,201.0,3e-05,-3e-05,-0.016,4e-05,0.0,23.0
6.28,-0.00054,-0.00054,0.005,0.00077,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.027,0.0,0.0,201.0,1e-05,-3e-05,-0.023,3e-05,0.0,23.0
6.53,-0.00038,-0.00038,-0.002,0.00053,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.045,0.0,0.0,201.0,0.00017,0.00013,-0.045,0.00022,0.0,23.0
6.78,-0.0001,-8e-05,-0.009,0.00013,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.045,0.0,0.0,201.0,0.00045,0.00043,-0.04,0.00062,0.0,23.0
7.03,-0.00011,-8e-05,-0.009,0.00013,0.0,30.4,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.045,0.0,0.0,199.2,0.00044,0.00043,-0.046,0.00062,0.0,30.4
7.28,-0.00011,-8e-05,-0.009,0.00013,0.0,30.4,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.067,0.0,0.0,199.2,0.00044,0.00043,-0.061,0.00062,0.0,30.4
7.53,-0.00011,-0.00012,-0.008,0.00016,0.0,30.4,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.063,0.0,0.0,199.2,0.00044,0.00039,-0.064,0.00059,0.0,30.4
7.78,-1e-05,2e-05,-0.016,2e-05,0.0,30.4,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,-0.064,0.0,0.0,199.2,0.00054,0.00053,-0.064,0.00075,0.0,30.4
8.031,0.00022,0.00019,-0.022,0.00029,0.0,29.97,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,-0.077,0.0,0.0,200.81,0.00077,0.0007,-0.078,0.00104,0.0,29.97
8.28,0.0002,0.00023,-0.028,0.0003,0.0,29.97,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,-0.093,0.0,0.0,200.81,0.00075,0.00073,-0.088,0.00105,0.0,29.97
8.53,0.00028,0.00021,-0.029,0.00035,0.0,29.97,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,-0.092,0.0,0.0,200.81,0.00083,0.00072,-0.091,0.0011,0.0,29.97
8.78,0.00028,0.00021,-0.029,0.00035,0.0,29.97,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,-0.092,0.0,0.0,200.81,0.00083,0.00072,-0.094,0.0011,0.0,29.97
9.03,0.00038,0.00016,-0.028,0.00041,0.0,29.97,0.0,0.0,0.0,0.0,0.0,19.98,0.0,0.0,-0.103,0.0,0.0,200.81,0.00093,0.00067,-0.104,0.00114,0.0,29.97
9.28,0.00013,3e-05,-0.031,0.00014,0.0,29.62,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.11,0.0,0.0,200.93,0.00068,0.00054,-0.111,0.00087,0.0,29.62
9.53,-2e-05,-9e-05,-0.03,9e-05,0.0,29.62,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.106,0.0,0.0,200.93,0.00053,0.00042,-0.108,0.00068,0.0,29.62
9.78,-2e-05,-9e-05,-0.03,9e-05,0.0,29.62,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.113,0.0,0.0,200.93,0.00053,0.00042,-0.113,0.00068,0.0,29.62
10.03,-2e-05,-9e-05,-0.03,9e-05,0.0,29.62,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.103,0.0,0.0,200.93,0.00053,0.00042,-0.104,0.00068,0.0,29.62
10.28,-2e-05,-9e-05,-0.03,9e-05,0.0,29.62,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.118,0.0,0.0,200.93,0.00053,0.00042,-0.12,0.00068,0.0,29.62
10.531,-2e-05,-9e-05,-0.03,9e-05,0.0,30.39,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,-0.123,0.0,0.0,199.93,0.00053,0.00042,-0.125,0.00068,0.0,30.39
10.78,-2e-05,-9e-05,-0.03,9e-05,0.0,30.39,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,-0.123,0.0,0.0,199.93,0.00053,0.00042,-0.122,0.00068,0.0,30.39
11.03,-2e-05,-9e-05,-0.03,9e-05,0.0,30.39,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,-0.139,0.0,0.0,199.93,0.00053,0.00042,-0.139,0.00068,0.0,30.39
11.281,-2e-05,-9e-05,-0.03,9e-05,0.0,30.39,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,-0.141,0.0,0.0,199.93,0.00053,0.00042,-0.141,0.00068,0.0,30.39
11.53,-2e-05,-9e-05,-0.03,9e-05,0.0,30.39,0.0,0.0,0.0,0.0,0.0,19.99,0.0,0.0,-0.143,0.0,0.0,199.93,0.00053,0.00042,-0.142,0.00068,0.0,30.39
11.78,-2e-05,-9e-05,-0.03,9e-05,0.0,29.61,0.0,0.0,0.0,0.0,0.0,20.01,0.0,0.0,-0.161,0.0,0.0,200.88,0.00053,0.00042,-0.162,0.00068,0.0,29.61
