t,cuvslam_x,cuvslam_y,cuvslam_th_deg,cuvslam_straight,cuvslam_path,cuvslam_hz,wheels_x,wheels_y,wheels_th_deg,wheels_straight,wheels_path,wheels_hz,gyro_x,gyro_y,gyro_th_deg,gyro_straight,gyro_path,gyro_hz,FUSED_x,FUSED_y,FUSED_th_deg,FUSED_straight,FUSED_path,FUSED_hz,roll_deg,pitch_deg,landmarks,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,velL,velR,tick_LF,tick_LR,tick_RF,tick_RR
0.271,-1e-05,-0.0,-0.004,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2774,0.0853,9.7612,-0.00499,7e-05,0.00706,0.0,0.0,-24089,12681,102048,97385
0.521,6e-05,-0.00017,0.005,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1,0.2065,0.0772,9.7396,-0.00399,-0.0018,-0.00386,0.0,0.0,-24089,12681,102048,97385
0.771,0.0001,-0.00041,0.022,0.00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,56,0.264,0.1463,9.7683,-0.00586,0.00013,0.00333,0.0,0.0,-24089,12681,102048,97385
1.021,-7e-05,-0.00035,0.024,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,56,0.1553,0.1463,9.7369,-0.00166,-0.00286,0.0014,0.0,0.0,-24089,12681,102048,97385
1.271,-0.00035,-0.00026,0.019,0.00044,0.0,29.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,,,56,0.1876,0.1544,9.7683,-0.00699,-0.00193,0.00859,0.0,0.0,-24089,12681,102048,97385
1.521,-2e-05,-0.00026,0.016,0.00026,0.0,29.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,,,56,0.185,0.1302,9.7612,-0.00439,-0.00073,0.00333,0.0,0.0,-24089,12681,102048,97385
1.771,1e-05,-0.00014,0.008,0.00014,0.0,29.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,,,55,0.1535,0.1463,9.7109,-0.00093,0.001,0.00027,0.0,0.0,-24089,12681,102048,97385
2.021,-0.00032,-0.00036,0.019,0.00048,0.0,29.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,,,55,0.2047,0.1068,9.6875,-0.00812,0.00419,0.00393,0.0,0.0,-24089,12681,102048,97385
2.271,-0.00066,-0.00022,0.022,0.0007,0.0,29.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,,,55,0.2164,0.0943,9.6938,-0.00073,0.00306,0.0012,0.0,0.0,-24089,12681,102048,97385
2.521,-0.0009,-0.00037,0.024,0.00097,0.0,27.19,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,199.96,0.0,0.0,0.0,0.0,0.0,0.0,,,55,0.1724,0.1015,9.8025,-0.00466,-0.0014,-0.00193,0.0,0.0,-24089,12681,102048,97385
2.771,-0.00125,-0.00032,0.035,0.00129,0.0,27.19,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,199.96,0.0,0.0,0.0,0.0,0.0,0.0,,,51,0.2245,0.1131,9.7755,-0.0026,-0.00133,0.0012,0.0,0.0,-24089,12681,102048,97385
3.021,-0.00136,-0.00031,0.033,0.0014,0.0,27.19,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,199.96,0.0,0.0,0.0,0.0,0.0,0.0,,,51,0.2092,0.1553,9.7028,-0.0008,0.00293,0.0014,0.0,0.0,-24089,12681,102048,97385
3.271,-0.0019,-0.00039,0.043,0.00194,0.0,27.19,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,199.96,0.0,0.0,0.0,0.0,0.0,0.0,,,51,0.2074,0.0844,9.6687,-0.003,-0.00013,0.00113,0.0,0.0,-24089,12681,102048,97385
3.521,-0.00171,-0.00046,0.047,0.00178,0.0,26.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,200.98,0.0,0.0,0.0,0.0,0.0,0.0,,,51,0.2478,0.0961,9.7333,-0.00426,-0.002,0.0032,0.0,0.0,-24089,12681,102048,97385
3.771,-0.00251,-0.00032,0.036,0.00253,0.0,26.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,200.98,0.0,0.0,0.0,0.0,0.0,0.0,,,50,0.2541,0.0988,9.6974,-0.0032,-0.0012,0.00473,0.0,0.0,-24089,12681,102048,97385
